<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Siderite	Anhydrous Carbonates 	U		295	1.22		1.8				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Ankerite	Anhydrous Carbonates 	U		295	1.23		1.5				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Szomolnokite	Hydrous sulfates	U		295	1.28		2.75				1<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Szomolnokite	Hyrous sulfates	U		295	0.65		0.35				2<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
R�merite	Hyrous sulfates	U		295	1.29		3.3				1<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
R�merite	Hyrous sulfates	U		295	1.27		2.76				2<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
R�merite	Hyrous sulfates	U		295	0.39		0.35				3<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
R�merite	Hyrous sulfates	U		295	0.13		0.49				4<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Melanterite	Hyrous sulfates	U		295	1.25		2.86				1<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Melanterite	Hyrous sulfates	U		295	1.27		3.5				2<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Melanterite	Hyrous sulfates	U		295	0.46		0.67				3<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Melanterite	Hyrous sulfates	U		295	0.18		0.46				4<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Halotrichite	Hyrous sulfates	U		295	1.28		2.73				1<sub>(5)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Halotrichite	Hyrous sulfates	U		295	1.3		3.35				2<sub>(5)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Halotrichite	Hyrous sulfates	U		295	1.32		1.7				3<sub>(5)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Halotrichite	Hyrous sulfates	U		295	0.45		0.36				4<sub>(5)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Halotrichite	Hyrous sulfates	U		295	0.14		0.51				5<sub>(5)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Coquimbite	Hyrous sulfates	U		295	0.11		0.63				1<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Coquimbite	Hyrous sulfates	U		295	0.46		0.38				2<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Coquimbite	Hyrous sulfates	U		295	0.27		0.52				3<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Voltaite	Hyrous sulfates	U		295	1.22		1.58				1<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Voltaite	Hyrous sulfates	U		295	1.34		1.79				2<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Voltaite	Hyrous sulfates	U		295	0.46		0.41				3<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Voltaite	Hyrous sulfates	U		295	0.17		0.65				4<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Jarosite	Anhydrous sulfate	U		295	0.37		1.2				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Phosphoferrite	Hydrated phosphate	U		295	0.19		2.45				1<sub>(2)</sub>	Unkn	<a href="http://www.sciencedirect.com/science/article/pii/0022190277805678" target="_blank">Mattievich & Danon 1974</a>
Phosphoferrite	Hydrated phosphate	U		295	0.19		1.57				2<sub>(2)</sub>	Unkn	<a href="http://www.sciencedirect.com/science/article/pii/0022190277805678" target="_blank">Mattievich & Danon 1974</a>
Vivianite	Hydrated phosphate	U		295	1.21		2.98				1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated phosphate	U		295	1.18		2.45				2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated phosphate	U		295	0.38		1.06				3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated phosphate	U		295	0.4		0.61				4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphate	U		295	1.12		3.32				1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphate	U		295	0.4		0.47				2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Strunzite	Hydrated phosphate	U		295	0.38		1.37				1<sub>(3)</sub>	Unkn	<a href="https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1980/01/jphyscol198041C1106/jphyscol198041C1106.html" target="_blank">Vogel & Evans 1980</a>
Strunzite	Hydrated phosphate	U		295	0.41		0.9				2<sub>(3)</sub>	Unkn	<a href="https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1980/01/jphyscol198041C1106/jphyscol198041C1106.html" target="_blank">Vogel & Evans 1980</a>
Strunzite	Hydrated phosphate	U		295	0.41		0.36				3<sub>(3)</sub>	Unkn	<a href="https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1980/01/jphyscol198041C1106/jphyscol198041C1106.html" target="_blank">Vogel & Evans 1980</a>
Ferberite	Anhydrous tungstate	U		295	1.11		1.49				1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Caruba et al. 1982</a>
Willemite	Orthosilicates	U		295	1.02		2.92				1<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/eurjmin/article-abstract/14/3/621/61949" target="_blank">Holstam 2002</a>
Willemite	Orthosilicates	U		295	1.09		2.57				2<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/eurjmin/article-abstract/14/3/621/61949" target="_blank">Holstam 2002</a>
Willemite	Orthosilicates	U		295	0.35		0.34				3<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/eurjmin/article-abstract/14/3/621/61949" target="_blank">Holstam 2002</a>
Fayalite	Orthosilicates	U		295	1.14		3.1				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Forsterite	Orthosilicates	U		295	1.14		2.93				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Zircon	Orthosilicates	U		295	0.27		1.03				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1017988720055" target="_blank">Carreto et al. 2001</a>
Zircon	Orthosilicates	U		295	0.21		0		51.83		2<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1017988720055" target="_blank">Carreto et al. 2001</a>
Almandine	Orthosilicates	U		295	1.29		3.53				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Andradite	Orthosilicates	U		295	0.4		0.55				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Staurolite	Orthosilicates	U		295	0.98		2.44				1<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Staurolite	Orthosilicates	U		295	0.98		2.08				2<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Staurolite	Orthosilicates	U		295	0.97		1.55				3<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Staurolite	Orthosilicates	U		295	0.89		0.93				4<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Staurolite	Orthosilicates	U		295	1.05		0.83				5<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Staurolite	Orthosilicates	U		295	0.11		0.79				6<sub>(6)</sub>	Unkn	<a href="https://www.researchgate.net/publication/236419565_Mossbauer_spectroscopy_of_synthetic_and_naturally_occurring_staurolite" target="_blank">Dyar et al. 1991</a>
Chloritoid	Disilicates	U		295	0.12		2.42				1<sub>(2)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/eurjmin/article-abstract/12/2/293/61695" target="_blank">Koch-Muller et al. 2000</a>
Chloritoid	Disilicates	U		295	0.29		0.96				2<sub>(2)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/eurjmin/article-abstract/12/2/293/61695" target="_blank">Koch-Muller et al. 2000</a>
Pumpellyite	Disilicates	U		295	0.42		1.7				1<sub>(4)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-7/am-2003-0717/am-2003-0717.xml" target="_blank">Artioli et al. 2003</a>
Pumpellyite	Disilicates	U		295	0.34		1.14				2<sub>(4)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-7/am-2003-0717/am-2003-0717.xml" target="_blank">Artioli et al. 2003</a>
Pumpellyite	Disilicates	U		295	1.2		2.56				3<sub>(4)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-7/am-2003-0717/am-2003-0717.xml" target="_blank">Artioli et al. 2003</a>
Pumpellyite	Disilicates	U		295	1.09		3.33				4<sub>(4)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-7/am-2003-0717/am-2003-0717.xml" target="_blank">Artioli et al. 2003</a>
Epidote	Disilicates	U		295	1.07		1.62				1<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/259480866_Ferriallanite-Ce_CaCeFe3AlFe2SiO4_Si2O7OOH_a_new_member_of_the_epidote_group_Description_X-ray_and_Mossbauer_study" target="_blank">Kartashov et al. 2002</a>
Epidote	Disilicates	U		295	0.36		1.78				2<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/259480866_Ferriallanite-Ce_CaCeFe3AlFe2SiO4_Si2O7OOH_a_new_member_of_the_epidote_group_Description_X-ray_and_Mossbauer_study" target="_blank">Kartashov et al. 2002</a>
Epidote	Disilicates	U		295	0.33		0.85				3<sub>(3)</sub>	Unkn	<a href="https://www.researchgate.net/publication/259480866_Ferriallanite-Ce_CaCeFe3AlFe2SiO4_Si2O7OOH_a_new_member_of_the_epidote_group_Description_X-ray_and_Mossbauer_study" target="_blank">Kartashov et al. 2002</a>
Ferroaxinite	Disilicates	U		295	1.3		2.12				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Astakhov et al. 1975</a>
Ferroaxinite	Disilicates	U		295	0.57		0.39				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Astakhov et al. 1975</a>
Schorl (tourmaline)	Ring silicates	U		295	0.17		0.51				1<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Schorl (tourmaline)	Ring silicates	U		295	0.43		0.82				2<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Schorl (tourmaline)	Ring silicates	U		295	0.77		1.21				3<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Schorl (tourmaline)	Ring silicates	U		295	1.09		2.47				4<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Schorl (tourmaline)	Ring silicates	U		295	1.09		2.19				5<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Schorl (tourmaline)	Ring silicates	U		295	1.07		1.6				6<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.1998.83.issue-7-8/am-1998-7-817/am-1998-7-817.xml" target="_blank">Dyar et al. 1998</a>
Beryl	Ring silicates	U		295	1.16		2.7				1<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Beryl	Ring silicates	U		295	0.59		0.86				2<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Cordierite	Ring silicates	U		295	1.19		2.3				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007%2Fs004100100234?LI=true" target="_blank">Khomenko et al. 2001</a>
Ferrosilite	Pyroxenes	U		295	1.18		2.49				1<sub>(2)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM58/AM58_850.pdf" target="_blank">Dowty &Lindsley 1973</a>
Ferrosilite	Pyroxenes	U		295	1.13		1.91				2<sub>(2)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM58/AM58_850.pdf" target="_blank">Dowty &Lindsley 1973</a>
Hedenbergite	Pyroxenes	U		295	1.18		2.21				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Eeckhout & DeGrave 2003</a>
Hedenbergite	Pyroxenes	U		295	0.34		0.68				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Eeckhout & DeGrave 2003</a>
Diopside	Pyroxenes	U		295	1.16		1.87				1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007%2Fs00269-003-0300-z?LI=true" target="_blank">DeGrave & Eeckhout 2003</a>
Diopside	Pyroxenes	U		295	1.15		2.14				2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007%2Fs00269-003-0300-z?LI=true" target="_blank">DeGrave & Eeckhout 2003</a>
Babingtonite	Pyroxenoid	U		295	0.3		0.77				1<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Burns & Dyar 1991</a>
Babingtonite	Pyroxenoid	U		295	0.4		0.84				2<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Burns & Dyar 1991</a>
Babingtonite	Pyroxenoid	U		295	1.2		2.41				3<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Burns & Dyar 1991</a>
Tremolite-actinolite	Amphiboles	U		295	1.11		2.85				1<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM56/AM56_2010.pdf" target="_blank">Burns & Greaves 1971</a>
Tremolite-actinolite	Amphiboles	U		295	1.12		1.8				2<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM56/AM56_2010.pdf" target="_blank">Burns & Greaves 1971</a>
Tremolite-actinolite	Amphiboles	U		295	1.11		2.4				3<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM56/AM56_2010.pdf" target="_blank">Burns & Greaves 1971</a>
Kaersutite	Amphiboles	U		295	1.11		2.05				1<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_968.pdf" target="_blank">Dyar et al. 1993</a>
Kaersutite	Amphiboles	U		295	1.06		2.41				2<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_968.pdf" target="_blank">Dyar et al. 1993</a>
Kaersutite	Amphiboles	U		295	0.39		0.87				3<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_968.pdf" target="_blank">Dyar et al. 1993</a>
Winchite	Amphiboles	U		295	1.13		1.9				1<sub>(2)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-11-12/am-2003-11-1240/am-2003-11-1240.xml" target="_blank">Gunter et al. 2003</a>
Winchite	Amphiboles	U		295	1.13		2.86				2<sub>(2)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2003.88.issue-11-12/am-2003-11-1240/am-2003-11-1240.xml" target="_blank">Gunter et al. 2003</a>
Surinamite	Chain silicate	U		295	0.35		0.53				1<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Surinamite	Chain silicate	U		295	1.2		2.42				2<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Surinamite	Chain silicate	U		295	1.12		2.02				3<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Surinamite	Chain silicate	U		295	1.03		1.3				4<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Surinamite	Chain silicate	U		295	0.36		1.09				5<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Surinamite	Chain silicate	U		295	0.31		0.92				6<sub>(6)</sub>	Unkn	<a href="https://www.degruyter.com/view/j/ammin.2002.87.issue-4/am-2002-0413/am-2002-0413.xml" target="_blank">Barbier et al. 2002</a>
Clintonite	Sheet silicate	U		295	0.47		0.51				1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Wang & Zhengmin 1992</a>
Chlorite	Sheet silicate	U		295	0.25		0.5				1<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	1.09		2.59				2<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	1.11		2.33				3<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	1.14		2.66				4<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	0.12		0.39				5<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	0.35		0.4				6<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Chlorite	Sheet silicate	U		295	0.35		0.65				7<sub>(7)</sub>	Unkn	<a href="https://pubs.er.usgs.gov/publication/70019118" target="_blank">Smyth et al. 1997</a>
Illite	Sheet silicate	U		295	1.12		2.61				1<sub>(2)</sub>	Unkn	<a href="http://www.minersoc.org/pages/Archive-CM/Volume_29/29-1-1.pdf" target="_blank">Murad & Wagner 1994</a>
Illite	Sheet silicate	U		295	0.36		0.61				2<sub>(2)</sub>	Unkn	<a href="http://www.minersoc.org/pages/Archive-CM/Volume_29/29-1-1.pdf" target="_blank">Murad & Wagner 1994</a>
Phlogopite	Sheet silicate	U		295	1.13		2.57				1<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Phlogopite	Sheet silicate	U		295	1.12		2.15				2<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Phlogopite	Sheet silicate	U		295	0.4		0.87				3<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Phlogopite	Sheet silicate	U		295	0.2		0.75				4<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Talc	Sheet silicate	U		295	1.13		2.57				1<sub>(2)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM76/AM76_1905.pdf" target="_blank">Coey et al. 1991</a>
Talc	Sheet silicate	U		295	1.12		2.15				2<sub>(2)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM76/AM76_1905.pdf" target="_blank">Coey et al. 1991</a>
Kaolinite	Sheet silicate	U		295	0.41		0.46				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Wagner 1991</a>
Kaolinite	Sheet silicate	U		295	1.11		2.53				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Wagner 1991</a>
Glauconite	Sheet silicate	U		295	1.11		2.71				1<sub>(3)</sub>	Unkn	<a href="http://www.tandfonline.com/doi/abs/10.1081/SL-100107892" target="_blank">Ali et al. 2001</a>
Glauconite	Sheet silicate	U		295	0.33		0.45				2<sub>(3)</sub>	Unkn	<a href="http://www.tandfonline.com/doi/abs/10.1081/SL-100107892" target="_blank">Ali et al. 2001</a>
Glauconite	Sheet silicate	U		295	0.34		0.99				3<sub>(3)</sub>	Unkn	<a href="http://www.tandfonline.com/doi/abs/10.1081/SL-100107892" target="_blank">Ali et al. 2001</a>
Lizardite	Sheet silicate	U		295	1.14		2.7				1<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_391.pdf" target="_blank">O'Hanley & Dyar 1993</a>
Lizardite	Sheet silicate	U		295	0.4		0.7				2<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_391.pdf" target="_blank">O'Hanley & Dyar 1993</a>
Lizardite	Sheet silicate	U		295	0.24		0.39				3<sub>(3)</sub>	Unkn	<a href="http://www.minsocam.org/ammin/AM78/AM78_391.pdf" target="_blank">O'Hanley & Dyar 1993</a>
Chrysotile	Sheet silicate	U		295	1.13		2.75				1<sub>(3)</sub>	Unkn	<a href="http://clay.uga.edu/courses/8550/Hanley_Dyar_Chrysotile.pdf" target="_blank">O'Hanley & Dyar 1998</a>
Chrysotile	Sheet silicate	U		295	0.31		0.86				2<sub>(3)</sub>	Unkn	<a href="http://clay.uga.edu/courses/8550/Hanley_Dyar_Chrysotile.pdf" target="_blank">O'Hanley & Dyar 1998</a>
Chrysotile	Sheet silicate	U		295	0.18		0.33				3<sub>(3)</sub>	Unkn	<a href="http://clay.uga.edu/courses/8550/Hanley_Dyar_Chrysotile.pdf" target="_blank">O'Hanley & Dyar 1998</a>
Feldspar	Framework silicates	U		295	1.14		2.12				1<sub>(6)</sub>	Unkn	<a href="http://adsabs.harvard.edu/abs/2002LPI....33.1725D" target="_blank">Dyar et al. 2002</a>
Feldspar	Framework silicates	U		295	0.92		2.09				2<sub>(6)</sub>	Unkn	<a href="http://adsabs.harvard.edu/abs/2002LPI....33.1725D" target="_blank">Dyar et al. 2002</a>
Feldspar	Framework silicates	U		295	1.09		1.45				3<sub>(6)</sub>	Unkn	<a href="http://adsabs.harvard.edu/abs/2002LPI....33.1725D" target="_blank">Dyar et al. 2002</a>
